op_type,timestamp,reliable,node_id,remote,session,size
fwd,0.0,R,0,0,0,55
fwd,0.0,R,1,1,1,55
fwd,0.0,R,2,2,2,55
fwd,0.0,R,3,1,1,55
fwd,0.0,R,1,1,1,690
fwd,0.0,R,4,3,3,966
fwd,0.0,R,4,3,3,51
fwd,0.0,R,4,3,3,427
fwd,0.0,R,4,3,3,51
fwd,0.0,R,4,3,3,309
fwd,0.0,R,4,3,3,321
fwd,0.0,R,4,3,3,367
fwd,0.0,R,4,3,3,330
fwd,0.0,R,4,3,3,330
fwd,0.0,R,4,3,3,790
fwd,0.0,R,4,3,3,72
fwd,0.0,R,4,3,3,332
fwd,0.0,R,4,3,3,41044
fwd,0.0,R,4,3,3,41044
fwd,0.0,R,4,3,3,41056
fwd,0.0,R,4,3,3,41056
fwd,0.0,R,4,3,3,41055
fwd,0.0,R,4,3,3,41056
fwd,0.0,R,4,3,3,41056
fwd,0.0,R,4,3,3,41056
fwd,0.0,R,4,3,3,41056
fwd,0.0,R,4,3,3,41055
fwd,0.0,R,4,3,3,41056
fwd,0.0,R,4,3,3,26388
fwd,0.0,R,4,3,3,41056
fwd,0.0,R,4,3,3,41056
fwd,0.0,R,5,1,1,690
fwd,200.0,R,6,1,1,964
fwd,200.0,R,7,1,1,962
fwd,200.0,R,4,3,3,63
fwd,200.0,R,4,3,3,418
fwd,200.0,R,6,1,1,51
fwd,200.0,R,7,1,1,51
fwd,200.0,R,8,4,4,965
fwd,200.0,R,8,4,4,51
fwd,200.0,R,4,3,3,332
fwd,200.0,R,9,5,5,964
fwd,200.0,R,9,5,5,51
fwd,200.0,R,7,1,1,424
fwd,200.0,R,7,1,1,50
fwd,200.0,R,7,1,1,306
fwd,200.0,R,7,1,1,323
fwd,200.0,R,7,1,1,367
fwd,200.0,R,7,1,1,332
fwd,200.0,R,8,4,4,426
fwd,200.0,R,8,4,4,51
fwd,200.0,R,8,4,4,307
fwd,200.0,R,8,4,4,320
fwd,200.0,R,8,4,4,368
fwd,200.0,R,8,4,4,332
fwd,200.0,R,4,3,3,332
fwd,200.0,R,7,1,1,332
fwd,200.0,R,7,1,1,795
fwd,200.0,R,7,1,1,72
fwd,200.0,R,7,1,1,330
fwd,200.0,R,7,1,1,41044
